task_id,oracle,full,uplift,plan_value,verify_value,difficulty,category,is_adversarial,is_multi_lang,has_analysis_guidance,spec_words,num_languages
INC5_cert_expiry,0.91,1.0,0.09,1.0,0.0,2,incident,0,1,0,0,3
INC6_deadlock,0.67,0.67,0.0,0.0,-0.08,4,incident,0,0,0,0,1
INC7_rollback,0.0,0.2767,0.2767,-0.5533,-0.5533,3,incident,0,0,0,0,1
INC8_cascading_timeout,0.6,0.7,0.1,-0.1,-0.1,3,incident,0,0,0,366,1
INC8_memory_leak,0.8,0.7,-0.1,0.0,-0.1,3,incident,0,0,0,229,1
INC9_log_forensics,0.3,0.3,0.0,0.1,0.0,3,incident,0,0,0,429,1
INT2_api_versioning,1.0,1.0,0.0,0.0,0.0,3,integration,0,0,0,320,1
INT3_db_migration,0.5,0.2333,-0.2667,-0.1667,-0.4667,3,integration,0,1,0,193,2
IR2_misinformation_trap,0.29,0.29,0.0,0.0,-0.14,3,ir,0,0,0,142,1
IR3_multi_source,0.92,1.0,0.08,0.0,0.0,3,ir,0,0,0,340,1
IR4_temporal,0.93,1.0,0.07,0.07,0.13,3,ir,0,0,0,619,1
IR5_search_ranking,0.3343,0.2967,-0.0376,0.0742,0.1187,2,ir,0,0,0,183,1
IR6_search_index,0.0,0.0,0.0,0.0,0.0,2,ir,0,0,0,331,1
IR7_doc_clustering,0.75,0.75,0.0,0.75,-0.13,2,ir,0,0,0,241,1
IR8_search_index,0.8,0.5,-0.3,-0.5,-0.4,3,ir,0,0,0,314,1
JS1_api_migration,0.43,0.0,-0.43,-0.57,0.0,3,multilang,0,1,0,497,2
JS2_xss_sanitize,0.78,0.58,-0.2,-0.29,0.58,3,multilang,0,1,0,0,2
LH2_budgeted_workflow,0.2833,0.8,0.5167,0.55,0.5333,4,legalhold,0,0,1,156,1
LH3_multi_service,0.9,0.95,0.05,0.05,0.0,4,legalhold,0,0,0,0,1
LH4_staged_deploy,0.43,0.43,0.0,0.0,0.29,3,legalhold,0,0,0,0,1
LH5_data_migration,0.0,0.0,0.0,0.0,-0.09,4,legalhold,0,0,0,0,1
LH6_audit_trail,0.55,0.32,-0.23,-0.04,-0.23,3,legalhold,0,0,0,370,1
LH7_zero_downtime,0.82,0.2733,-0.5467,-0.5467,-0.6367,3,legalhold,0,1,0,227,2
MULTI1_fullstack_fix,0.2933,0.7,0.4067,0.48,0.2,3,multi_layer,0,1,1,571,4
MULTI2_api_frontend,0.5,0.5,0.0,0.0,-0.06,3,multi_layer,0,0,0,0,1
MULTI2_microservice_debug,0.9,0.9,0.0,0.0,0.0,3,multi_layer,0,1,0,356,3
MULTI3_polyglot,1.0,1.0,0.0,0.0,0.0,3,multi_layer,0,1,0,619,2
MULTI4_monorepo_fix,0.9,1.0,0.1,0.1,0.0,3,multi_layer,0,0,0,501,1
MULTI5_deploy_pipeline,0.1667,0.4,0.2333,0.1667,0.1,3,multi_layer,0,1,0,229,2
MULTI6_fullstack_bug,0.9,1.0,0.1,0.0,0.0,3,multi_layer,0,1,0,412,2
MULTI7_polyglot_test,0.9,1.0,0.1,0.0,0.0,3,multi_layer,0,1,0,350,3
MULTI8_sdk_mismatch,0.25,0.44,0.19,0.1467,0.1467,3,multi_layer,0,0,0,283,1
NEG2_cost_perf,1.0,0.5455,-0.4545,0.0266,0.3327,3,negotiation,0,0,0,0,1
NEG3_tech_debt,0.8,1.0,0.2,0.0,0.0,2,negotiation,0,0,0,638,1
NEG4_resource_allocation,0.9,1.0,0.1,0.1,0.0,3,negotiation,0,0,0,282,1
NEG5_sla_tradeoff,0.9,1.0,0.1,0.1,0.0,3,negotiation,0,0,0,329,1
O1_service_health,0.0714,0.0625,-0.0089,0.0268,-0.0089,2,ops,0,1,0,106,2
O2_incident_rootcause,0.0,0.0,0.0,0.0,0.0,3,ops,0,0,1,214,1
O3_log_analysis,0.1643,0.168,0.0037,0.108,0.098,3,ops,0,0,0,406,1
O4_monitoring,0.2243,0.2683,0.044,-0.0172,-0.0117,3,ops,0,1,0,400,2
O5_container_debug,0.6,0.73,0.13,0.13,0.73,3,ops,0,1,0,295,4
O6_perf_tuning,0.77,0.0,-0.77,-1.0,0.0,4,ops,0,0,0,0,1
O7_capacity_planning,1.0,1.0,0.0,0.0,0.0,3,ops,0,0,0,198,1
O8_dockerfile_fix,0.1775,0.2867,0.1092,0.2867,0.2867,1,ops,0,0,0,142,1
O9_logging_config,0.5,0.6,0.1,0.6,0.0,2,ops,0,0,0,208,1
P2_spec_arbitration,0.25,0.125,-0.125,0.125,-0.375,3,policy,0,0,0,181,1
P3_access_control,0.2275,0.2,-0.0275,0.054,0.018,3,policy,0,0,0,0,1
P4_data_retention,0.86,0.57,-0.29,0.21,-0.07,3,policy,0,0,0,0,1
P5_audit_logging,0.93,0.93,0.0,-0.07,-0.07,2,policy,0,0,0,0,1
P6_license_check,0.3686,0.8571,0.4886,0.6943,-0.1429,1,policy,0,0,0,133,1
P7_data_retention,0.1271,0.8571,0.73,0.6343,0.0,2,policy,0,0,0,203,1
P8_access_control,0.3,0.2,-0.1,-0.2,-0.2,3,policy,0,0,0,347,1
PIPE1_etl_fix,0.2133,0.1217,-0.0917,-0.1217,-0.1517,2,pipeline,0,0,1,0,1
PIPE2_api_gateway,0.92,0.6133,-0.3067,-0.3067,-0.3867,2,pipeline,0,0,0,0,1
PIPE2_data_pipeline,0.8,0.8,0.0,0.0,0.0,3,pipeline,0,0,0,348,1
PIPE3_msg_queue,0.77,0.425,-0.345,-0.195,-0.425,3,pipeline,0,0,0,0,1
PIPE3_stream_processing,1.0,1.0,0.0,1.0,0.0,3,pipeline,0,0,0,464,1
PIPE4_ci_cd,0.93,1.0,0.07,0.07,0.0,2,pipeline,0,1,0,0,2
S3_refactor_extract,0.17,0.17,0.0,0.0,0.17,3,swe,0,0,0,0,1
S4_backward_compat,0.21,0.21,0.0,0.0,-0.08,3,swe,0,0,0,328,1
S5_error_handling,0.1429,0.0471,-0.0957,-0.1329,0.01,2,swe,0,0,0,242,1
S6_caching,0.0,0.31,0.31,-0.31,-0.31,3,swe,0,0,0,0,1
S7_env_config,0.1775,0.172,-0.0055,0.03,-0.043,1,swe,0,0,0,164,1
SCALE1_codebase_migration,0.114,0.142,0.028,0.014,-0.0355,4,scaling,0,0,0,289,1
SEC1_vuln_patch,0.25,0.1383,-0.1117,0.0267,-0.125,3,security,0,0,1,480,1
SEC2_auth_bypass,0.9,0.7,-0.2,-0.2,0.0,3,security,0,0,0,0,1
SEC3_crypto_upgrade,0.3414,0.3729,0.0314,0.0543,0.0857,3,security,0,0,0,0,1
SEC4_input_validation,0.31,0.155,-0.155,-0.155,-0.225,3,security,0,0,0,0,1
SEC5_secrets_rotation,0.1314,0.4171,0.2857,0.1543,-0.2971,3,security,0,0,0,0,1
SEC6_csrf_protection,0.85,0.46,-0.39,-0.31,-0.08,2,security,0,0,0,0,1
SEC7_rate_limiting,0.47,0.6,0.13,0.27,-0.07,3,security,0,0,0,0,1
SEC8_dependency_audit,0.83,0.92,0.09,0.09,0.25,4,security,0,0,0,0,1
SEC9_vuln_triage,0.77,0.425,-0.345,-0.195,-0.345,3,security,0,0,0,554,1
SPEC2_api_design,0.75,0.67,-0.08,0.0,-0.08,2,spec_driven,0,0,0,0,1
SPEC3_data_model,0.2143,0.2619,0.0476,0.0952,0.1747,2,spec_driven,0,0,0,0,1
SPEC4_migration,0.0,0.85,0.85,0.0,0.0,3,spec_driven,0,0,0,0,1
SPEC5_config_system,0.5571,0.4143,-0.1429,0.4143,0.2414,3,spec_driven,0,0,0,937,1
SPEC6_rfc_impl,0.95,1.0,0.05,0.05,0.0,3,spec_driven,0,0,0,732,1
SPEC7_config_schema,1.0,1.0,0.0,0.0,0.0,3,spec_driven,0,0,0,204,1
SQL2_query_optimize,0.47,0.87,0.4,0.4,0.4,3,multilang,0,1,0,0,2
SYNTH1_distributed_debug,0.09,0.13,0.04,0.0529,-0.0114,4,other,0,0,0,328,1
TEST1_spec_to_tests,0.25,0.225,-0.025,0.075,0.075,2,testing,0,0,1,619,1
TEST2_regression,0.2,0.5333,0.3333,0.0189,-0.0121,3,testing,0,0,0,0,1
TEST3_integration,0.2257,0.2867,0.061,-0.01,0.0439,3,testing,0,0,0,0,1
TEST4_property,0.1229,0.2345,0.1117,-0.0521,0.0136,3,testing,0,0,0,154,1
TEST5_mutation_resistant,0.318,0.2767,-0.0413,0.0692,0.0927,3,testing,0,0,0,531,1
TEST6_property_based,0.3,0.4455,0.1455,0.3343,-0.2818,3,testing,0,0,0,354,1
TEST7_integration_suite,0.0,1.0,1.0,0.84,0.0,3,testing,0,0,0,187,1
TEST8_unit_basic,0.75,0.88,0.13,0.0,0.0,1,testing,0,0,0,140,1
TEST9_mock_service,0.35,0.3336,-0.0164,0.0736,-0.3027,2,testing,0,0,0,193,1
TRAP6_deprecated_api,1.0,1.0,0.0,1.0,0.0,3,adversarial,1,0,0,162,1
TRAP7_test_pollution,0.8,0.8,0.0,0.0,0.0,3,adversarial,1,0,0,190,1
TRAP8_config_override,0.9,0.9,0.0,0.0,0.0,3,adversarial,1,0,0,319,1
cross1_api_contract,0.5,0.8333,0.3333,0.0,0.4,2,other,0,0,0,0,0
cross2_schema_evolution,1.0,1.0,0.0,0.0,0.5555,2,other,0,0,0,0,0
cross3_protocol_bridge,0.8667,1.0,0.1333,0.0,0.5,2,other,0,0,0,0,0
cross4_auth_federation,1.0,1.0,0.0,0.0,0.5,2,other,0,0,0,0,0
crypto1_nonce_reuse,0.2,0.2,0.0,0.0,0.0,2,other,0,0,0,0,0
crypto2_timing_safe,1.0,1.0,0.0,0.0,0.0,2,other,0,0,0,0,0
crypto3_cert_chain,0.0667,0.0667,0.0,0.0667,-0.0667,2,other,0,0,0,0,0
crypto4_kdf_migration,0.2,0.2,0.0,0.0,0.0,2,other,0,0,0,0,0
dist1_queue_race,0.2667,0.2667,0.0,0.0167,0.0167,2,other,0,0,0,0,0
dist2_consensus_partition,0.4167,0.4445,0.0278,0.0278,0.0278,2,other,0,0,0,0,0
dist3_idempotency,0.5278,0.4167,-0.1111,-0.3055,-0.3889,2,other,0,0,0,0,0
dist4_clock_skew,0.9167,0.9722,0.0555,0.1389,0.25,2,other,0,0,0,0,0
trap1_spec_conflict,0.9333,0.9333,0.0,0.0,0.4667,2,other,0,0,0,0,0
trap2_false_fix,1.0,1.0,0.0,0.0,0.6042,2,other,0,0,0,0,0
trap3_metric_mirage,0.8667,1.0,0.1333,0.0,0.5,2,other,0,0,0,0,0
trap4_version_paradox,0.5533,0.5267,-0.0267,-0.0267,0.375,2,other,0,0,0,0,0
trap5_security_theater,0.758,0.716,-0.042,-0.284,0.1272,2,other,0,0,0,0,0
